run,trial,dual,cueStart,trackingStart,respStart
1,1,False,4.0,5.3,18.95
1,2,False,24.15,28.05,46.25
1,3,True,59.9,61.85,74.85
1,4,False,89.8,91.1,105.4
1,5,True,119.7,128.15,143.75
1,6,True,148.95,155.45,169.75
1,7,True,177.55,188.6,201.6
1,8,False,208.75,210.05,224.35
2,1,True,5.3,7.25,35.85
2,2,True,44.3,46.25,59.25
2,3,True,65.75,67.7,80.7
2,4,False,92.4,93.7,107.35
2,5,False,121.65,124.9,139.85
2,6,False,147.65,150.9,169.75
2,7,False,174.95,178.85,193.15
2,8,True,211.35,215.9,232.15
3,1,False,7.25,9.85,25.45
3,2,True,31.95,35.2,48.2
3,3,True,58.6,67.05,80.05
3,4,False,86.55,95.0,110.6
3,5,False,121.65,124.9,139.2
3,6,True,145.05,151.55,165.2
3,7,True,176.25,177.55,195.1
3,8,False,200.3,203.55,225.65
4,1,False,4.65,10.5,24.15
4,2,True,35.85,38.45,52.75
4,3,True,59.25,60.55,73.55
4,4,True,80.05,82.0,109.3
4,5,False,116.45,120.35,135.95
4,6,False,141.15,143.75,158.7
4,7,True,168.45,173.65,193.15
4,8,False,199.65,210.05,224.35
5,1,True,6.6,8.55,25.45
5,2,False,30.65,32.6,48.2
5,3,False,54.7,57.95,70.95
5,4,False,76.15,86.55,100.85
5,5,True,106.7,127.5,141.8
5,6,False,150.25,157.4,178.2
5,7,True,187.95,194.45,209.4
5,8,True,214.6,217.2,230.2
6,1,True,7.25,8.55,21.55
6,2,False,31.3,35.2,52.75
6,3,False,57.95,59.25,73.55
6,4,False,80.05,83.95,98.25
6,5,True,103.45,104.75,121.0
6,6,True,137.9,145.7,167.8
6,7,False,173.65,176.25,191.85
6,8,True,212.65,214.6,227.6
7,1,False,7.25,9.85,24.15
7,2,True,29.35,37.15,56.65
7,3,False,67.7,74.2,89.8
7,4,True,98.9,109.3,123.6
7,5,True,130.75,137.25,154.8
7,6,False,160.0,161.3,174.95
7,7,False,182.75,184.7,199.0
7,8,True,213.95,215.9,234.1
8,1,False,7.25,9.85,22.85
8,2,True,30.0,39.75,52.75
8,3,True,61.85,70.95,83.95
8,4,True,90.45,91.75,115.8
8,5,False,121.0,123.6,141.15
8,6,False,152.85,154.15,172.35
8,7,False,177.55,181.45,194.45
8,8,True,210.05,212.0,225.0
9,1,False,4.0,5.3,33.9
9,2,True,43.65,47.55,65.75
9,3,True,74.85,81.35,99.55
9,4,False,113.85,115.15,130.75
9,5,True,138.55,143.75,158.05
9,6,False,164.55,165.85,178.85
9,7,True,187.3,188.6,202.25
9,8,False,208.1,215.25,230.2
10,1,False,7.25,13.75,28.7
10,2,True,39.75,41.05,54.05
10,3,True,59.25,62.5,79.4
10,4,False,87.2,97.6,127.5
10,5,True,132.7,146.35,160.0
10,6,False,167.15,171.05,184.05
10,7,False,189.9,193.15,209.4
10,8,True,217.2,218.5,232.8
